water,style,mode,error_ppm,old_error_ppm,conditional_lower_bound_ppm,gap_ppm,salts,ms,ra,doses
"Angles","21A","minimum","5.333","18.124","5.087","0.246","4","1.88","0.2","{""gypse"":9.7,""epsom"":4.3,""nacl"":0.5,""kcl"":2.7}"
"Angles","21A","target","2.158","19.471","2.111","0.047","4","2.02","1.3","{""gypse"":9.4,""epsom"":4.8,""nacl"":1.8,""kcl"":1}"
"Angles","21A","modest","2.169","19.025","2.111","0.059","4","1.87","1.3","{""gypse"":9.4,""epsom"":4.8,""nacl"":1.4,""kcl"":1.5}"
"Angles","21B","minimum","8.992","18.495","8.584","0.408","4","3.86","102.8","{""gypse"":8.1,""mgcl2"":2.7,""kcl"":2.8,""nahco3"":2.9}"
"Angles","21B","target","1.205","16.028","1.032","0.174","5","6.20","99.3","{""gypse"":5.6,""epsom"":3.5,""nacl"":1.6,""kcl"":2.8,""chaux"":1.3}"
"Angles","21B","modest","1.205","16.028","1.032","0.174","5","6.34","99.3","{""gypse"":5.6,""epsom"":3.5,""nacl"":1.6,""kcl"":2.8,""chaux"":1.3}"
"Angles","21C","minimum","6.109","27.312","5.629","0.480","3","2.07","6.8","{""cacl2"":7.2,""epsom"":5.7,""kcl"":2.8}"
"Angles","21C","target","0.369","28.224","0.173","0.195","5","2.10","19.7","{""gypse"":2,""cacl2"":5,""epsom"":2.9,""nacl"":1.8,""kcl"":2.8}"
"Angles","21C","modest","0.946","27.919","0.794","0.152","5","2.38","17.1","{""gypse"":1.7,""cacl2"":5.4,""epsom"":3.3,""nacl"":1.5,""kcl"":2.8}"
"Angles","23A","minimum","2.343","13.641","1.629","0.715","3","2.10","73.1","{""gypse"":1.8,""mgcl2"":1.5,""kcl"":2.8}"
"Angles","23A","target","0.615","14.729","0.000","0.615","4","2.55","68.3","{""cacl2"":1.8,""epsom"":2.6,""nacl"":1.3,""kcl"":0.5}"
"Angles","23A","modest","0.615","14.729","0.000","0.615","4","2.22","68.3","{""cacl2"":1.8,""epsom"":2.6,""nacl"":1.3,""kcl"":0.5}"
"Angles","27","minimum","0.792","6.992","0.347","0.445","3","2.20","75.1","{""gypse"":2.2,""nacl"":4.5,""kcl"":2.8}"
"Angles","27","target","7.198","35.664","7.179","0.019","2","2.47","75.1","{""gypse"":2.2,""nacl"":7.4}"
"Angles","27","modest","0.430","7.114","0.000","0.430","4","2.96","69.1","{""gypse"":2.2,""mgcl2"":1.7,""nacl"":4.4,""kcl"":1.7}"
"Angles","24A","minimum","3.731","19.822","3.432","0.299","3","2.39","64.3","{""cacl2"":2,""epsom"":3.3,""kcl"":2.8}"
"Angles","24A","target","0.697","20.649","0.000","0.697","4","2.35","66","{""cacl2"":1.8,""epsom"":3.4,""nacl"":1.4,""kcl"":1.3}"
"Angles","24A","modest","0.697","20.649","0.000","0.697","4","2.52","66","{""cacl2"":1.8,""epsom"":3.4,""nacl"":1.4,""kcl"":1.3}"
"Angles","24C","minimum","3.708","20.201","3.376","0.332","3","1.98","49","{""gypse"":4.2,""mgcl2"":2.7,""kcl"":2.8}"
"Angles","24C","target","0.817","21.419","0.000","0.817","4","2.26","50.7","{""gypse"":4.2,""mgcl2"":2.2,""nacl"":1.8,""kcl"":1}"
"Angles","24C","modest","0.804","21.014","0.000","0.804","4","2.34","50.7","{""gypse"":4.2,""mgcl2"":2.2,""nacl"":1.4,""kcl"":1.5}"
"Angles","25B","minimum","4.624","15.943","4.305","0.319","4","2.09","54.2","{""gypse"":3.7,""epsom"":2.9,""nacl"":0.7,""kcl"":2.8}"
"Angles","25B","target","0.744","16.961","0.630","0.114","4","1.95","55.2","{""gypse"":3.4,""epsom"":3.4,""nacl"":1.4,""kcl"":2}"
"Angles","25B","modest","0.744","16.961","0.630","0.114","4","2.22","55.2","{""gypse"":3.4,""epsom"":3.4,""nacl"":1.4,""kcl"":2}"
"Angles","26C","minimum","3.312","17.438","2.457","0.856","3","1.80","54.9","{""gypse"":4.2,""mgcl2"":1,""kcl"":2.8}"
"Angles","26C","target","0.733","18.301","0.000","0.733","4","1.96","61.9","{""gypse"":3.3,""epsom"":1.4,""nacl"":1.4,""kcl"":1.8}"
"Angles","26C","modest","0.733","18.301","0.000","0.733","4","2.13","61.9","{""gypse"":3.3,""epsom"":1.4,""nacl"":1.4,""kcl"":1.8}"
"Angles","26D","minimum","1.920","13.434","1.759","0.161","4","1.89","43.5","{""gypse"":3.7,""cacl2"":1.6,""mgcl2"":1,""kcl"":2.8}"
"Angles","26D","target","1.389","14.566","1.370","0.019","4","2.20","43.9","{""gypse"":3.7,""cacl2"":1.2,""mgcl2"":2,""nacl"":2}"
"Angles","26D","modest","0.854","13.551","0.000","0.854","5","4.33","45.9","{""gypse"":3.7,""cacl2"":1.2,""mgcl2"":2.8,""nacl"":1.5,""chaux"":0.1}"
"Angles","NA-BLONDE","minimum","3.316","13.334","2.842","0.475","4","1.94","56.1","{""cacl2"":2.9,""epsom"":3.1,""nacl"":0.7,""kcl"":2.8}"
"Angles","NA-BLONDE","target","0.191","14.174","0.000","0.191","5","2.29","59.4","{""gypse"":2.2,""cacl2"":1,""mgcl2"":1.7,""nacl"":1.8,""kcl"":2.1}"
"Angles","NA-BLONDE","modest","0.243","13.796","0.000","0.243","5","2.08","59.4","{""gypse"":2.2,""cacl2"":1,""mgcl2"":1.7,""nacl"":1.4,""kcl"":2.6}"
"Angles","NA-IPA","minimum","5.573","18.775","5.483","0.090","5","2.05","31.5","{""gypse"":1.4,""cacl2"":3.9,""epsom"":4.2,""nacl"":1.3,""kcl"":2.8}"
"Angles","NA-IPA","target","1.803","19.381","1.735","0.068","5","2.28","37.5","{""gypse"":4.4,""cacl2"":0.9,""mgcl2"":3,""nacl"":2,""kcl"":2.8}"
"Angles","NA-IPA","modest","2.442","19.106","2.356","0.086","5","1.96","35.1","{""gypse"":4.4,""cacl2"":1,""mgcl2"":3.4,""nacl"":1.7,""kcl"":2.8}"
"Angles","NA-WEISS","minimum","4.314","11.844","4.237","0.077","4","2.66","67.2","{""gypse"":2,""mgcl2"":2.7,""nacl"":1.1,""kcl"":2.8}"
"Angles","NA-WEISS","target","0.783","12.782","0.494","0.289","4","2.04","73.2","{""cacl2"":1.2,""epsom"":2.9,""nacl"":1.8,""kcl"":2.7}"
"Angles","NA-WEISS","modest","1.311","12.361","1.115","0.196","4","2.11","72.3","{""cacl2"":1.3,""epsom"":2.9,""nacl"":1.6,""kcl"":2.8}"
"Angles","NA-STOUT","minimum","4.019","21.586","3.632","0.387","4","8.03","100.8","{""cacl2"":5.1,""epsom"":2.9,""kcl"":2.8,""nahco3"":2.2}"
"Angles","NA-STOUT","target","0.410","21.934","0.000","0.410","5","4.20","100.7","{""cacl2"":4.5,""epsom"":2.9,""nacl"":1.5,""kcl"":1.6,""nahco3"":2}"
"Angles","NA-STOUT","modest","1.383","21.736","1.282","0.100","5","6.14","102.2","{""cacl2"":4.7,""epsom"":2.9,""mgcl2"":0.7,""kcl"":2.8,""nahco3"":2.2}"
"Angles","NA-LAGER","minimum","3.389","9.990","2.944","0.445","4","1.93","71.4","{""cacl2"":1.3,""epsom"":3.2,""nacl"":0.7,""kcl"":2.8}"
"Angles","NA-LAGER","target","0.303","10.599","0.000","0.303","5","2.38","75.8","{""gypse"":1.4,""epsom"":1.2,""mgcl2"":0.7,""nacl"":1.4,""kcl"":2.7}"
"Angles","NA-LAGER","modest","0.303","10.599","0.000","0.303","5","2.09","75.8","{""gypse"":1.4,""epsom"":1.2,""mgcl2"":0.7,""nacl"":1.4,""kcl"":2.7}"
"Angles","—","minimum","3.278","16.448","3.045","0.232","4","2.05","43.2","{""gypse"":2.4,""cacl2"":2.3,""epsom"":2.7,""kcl"":2.8}"
"Angles","—","target","0.345","17.922","0.000","0.345","5","1.96","47.1","{""gypse"":2.4,""cacl2"":1.9,""epsom"":2.7,""nacl"":1.8,""kcl"":0.9}"
"Angles","—","modest","1.079","17.437","0.000","1.079","4","1.99","49.5","{""gypse"":4.3,""mgcl2"":2.3,""nacl"":1.4,""kcl"":1.7}"
"Fribourg (indicatif)","01A","minimum","16.800","19.455","16.798","0.002","1","0.12","136","{""kcl"":1.1}"
"Fribourg (indicatif)","01A","target","16.371","19.085","16.304","0.066","1","0.09","136","{""kcl"":1.1}"
"Fribourg (indicatif)","01A","modest","16.371","19.085","16.304","0.066","1","0.23","136","{""kcl"":1.1}"
"Fribourg (indicatif)","05B","minimum","22.613","23.934","20.718","1.895","1","0.09","136","{""kcl"":2}"
"Fribourg (indicatif)","05B","target","22.243","23.585","20.229","2.014","1","0.08","136","{""kcl"":2}"
